granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
MAFF,NA,2019-03-26,2019 Mar,2019,286200000,299945160,流通経済研究所,NA,"公益財団法人流通経済研究所
東京都千代田区九段南4-8-21",2010005019116,"支出負担行為担当官　農林水産省大臣官房参事官（経理）　福原伸之
東京都千代田区霞が関1-2-1",平成30年度輸出環境整備緊急対策事業のうち日本産食品の安全性に関する第三者評価委託事業,Goods and Services,公財,国認定,1,Competitive,NA,h30_youshiki2-3
MHLW,1013205001281,2019-03-26,2019 Mar,2019,6019056,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構弘前病院
院長　橋本　省
青森県弘前市大字富野町1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-26,2019 Mar,2019,27163404,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構渋川医療センター
院長　斎藤　龍生
群馬県渋川市白井383",放射性同位元素の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-26,2019 Mar,2019,115820928,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構名古屋医療センター
院長　直江　知樹
愛知県名古屋市中区三の丸4-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-26,2019 Mar,2019,5341788,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構和歌山病院
院長　南方　良章
和歌山県日高郡美浜町和田1138",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MOFA,9010005014408,2019-03-26,2019 Mar,2019,167161320,0,青年海外協力協会,NA,"公益社団法人青年海外協力協会
長野県駒ケ根市中央16-7",9010005014408,"独立行政法人国際協力機構
契約担当役理事　植嶋卓巳
東京都千代田区二番町5-25",JICA主催国際協力エッセイコンテスト運営事務局業務委託契約（2019-2021年度）,Goods and Services,公社,国認定,1,Competitive,NA,h30_youshiki3-3
MEXT,5011105002256,2019-03-27,2019 Mar,2019,270000000,270000000,日本スポ-ツ協会,NA,"公益財団法人日本スポーツ協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「アスリートパスウェイの戦略的支援」委託事業（平成31年度）（地域ネットワークを活用したアスリート育成パスウェイの整備）,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-27,2019 Mar,2019,270000000,270000000,日本スポ-ツ協会,NA,"公益財団法人日本スポーツ協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「アスリートパスウェイの戦略的支援」委託事業（平成31年度）（地域ネットワークを活用したアスリート育成パスウェイの整備）,Goods and Services,公財,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-27,2019 Mar,2019,6788684,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構愛媛医療センター
院長　岩田　猛
愛媛県東温市横河原366",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-27,2019 Mar,2019,20467944,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構大牟田病院
院長　川崎　雅之
福岡県大牟田市大字橘1044-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,6010905002126,2019-03-27,2019 Mar,2019,17228196,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",6010905002126,"国立研究開発法人国立成育医療研究センター
理事長　五十嵐　隆　
東京都世田谷区大蔵2-10-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,6010905002126,2019-03-27,2019 Mar,2019,434040,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",6010905002126,"国立研究開発法人国立成育医療研究センター
理事長　五十嵐　隆　
東京都世田谷区大蔵2-10-1",放射性医薬品の廃棄,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,4180005012861,2019-03-27,2019 Mar,2019,101316960,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",4180005012861,"国立研究開発法人国立長寿医療研究センター
理事長　荒井　秀典
愛知県大府市森岡町七丁目430番地",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,20998986,21000000,全日本空手道連盟,NA,"公益財団法人全日本空手道連盟
東京都江東区辰巳1-1-20　",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「次世代ターゲットスポーツの育成支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,35125939,21000000,全日本空手道連盟,NA,"公益財団法人全日本空手道連盟
東京都江東区辰巳1-1-20　",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「次世代ターゲットスポーツの育成支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,r2_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,42000000,42000000,日本ラグビ-フットボ-ル協会,NA,"公益財団法人日本ラグビーフットボール協会
東京都港区北青山2-8-35",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「次世代ターゲットスポーツの育成支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,42000000,42000000,日本ラグビ-フットボ-ル協会,NA,"公益財団法人日本ラグビーフットボール協会
東京都港区北青山2-8-35",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「次世代ターゲットスポーツの育成支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,45000000,45000000,日本卓球協会,NA,"公益財団法人日本卓球協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,45000000,45000000,日本卓球協会,NA,"公益財団法人日本卓球協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,15000000,15000000,日本水泳連盟,NA,"公益財団法人日本水泳連盟
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,15000000,15000000,日本水泳連盟,NA,"公益財団法人日本水泳連盟
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,5000000,15000000,日本陸上競技連盟,NA,"公益財団法人日本陸上競技連盟
東京都新宿区西新宿2-7-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-28,2019 Mar,2019,4882141,15000000,日本陸上競技連盟,NA,"公益財団法人日本陸上競技連盟
東京都新宿区西新宿2-7-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",「有望アスリート海外強化支援」（平成31年度）委託事業,Goods and Services,公財,国認定,1,Negotiated,0,r2_youshiki3-4
MHLW,1013205001281,2019-03-28,2019 Mar,2019,9557352,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構さいがた医療センター
院長　下村　登規夫
新潟県上越市大潟区犀潟468-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-28,2019 Mar,2019,30262788,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東名古屋病院
院長　今井　常夫
愛知県名古屋市名東区梅森坂5-101",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-28,2019 Mar,2019,16372044,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構兵庫中央病院
院長　里中　和廣
兵庫県三田市大原1314",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,7010005006877,2019-03-29,2019 Mar,2019,663527000,‐,国立劇場おきなわ運営財団/沖縄県浦添市勢理客4‐14‐1,NA,公益財団法人国立劇場おきなわ運営財団／沖縄県浦添市勢理客4‐14‐1,7010005006877,独立行政法人日本芸術文化振興会・契約担当役理事長・河村潤子／東京都千代田区隼町4‐1,平成３１年度国立劇場おきなわ業務委託,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,7010005006877,2019-03-29,2019 Mar,2019,663527000,‐,国立劇場おきなわ運営財団/沖縄県浦添市勢理客4‐14‐1,NA,公益財団法人国立劇場おきなわ運営財団／沖縄県浦添市勢理客4‐14‐1,7010005006877,独立行政法人日本芸術文化振興会・契約担当役理事長・河村潤子／東京都千代田区隼町4‐1,平成３１年度国立劇場おきなわ業務委託,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,7010005006877,2019-03-29,2019 Mar,2019,4020888000,‐,新国立劇場運営財団/,NA,公益財団法人新国立劇場運営財団／東京都渋谷区本町1‐1‐1,7010005006877,独立行政法人日本芸術文化振興会・契約担当役理事長・河村潤子／東京都千代田区隼町4‐1,平成３１年度新国立劇場業務委託,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,7010005006877,2019-03-29,2019 Mar,2019,4020888000,‐,新国立劇場運営財団/,NA,公益財団法人新国立劇場運営財団／東京都渋谷区本町1‐1‐1,7010005006877,独立行政法人日本芸術文化振興会・契約担当役理事長・河村潤子／東京都千代田区隼町4‐1,平成３１年度新国立劇場業務委託,Goods and Services,公財,国認定,1,Negotiated,0,h30_youshiki3-4
MEXT,5011105002256,2019-03-29,2019 Mar,2019,6534588,0,日本ボ-ト協会,NA,"公益社団法人日本ボート協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",ナショナルトレーニングセンター競技別強化拠点施設（ボート）運営支援業務,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MEXT,5011105002256,2019-03-29,2019 Mar,2019,2204922,0,日本ボ-ト協会,NA,"公益社団法人日本ボート協会
東京都渋谷区神南1-1-1",5011105002256,"契約担当役
独立行政法人日本スポーツ振興センター　理事長　大東　和美
東京都港区北青山2-8-35",ナショナルトレーニングセンター競技別強化拠点施設（ボート）運営支援業務,Goods and Services,公社,国認定,1,Negotiated,0,r2_youshiki3-4
MEXT,5011105002256,2019-03-29,2019 Mar,2019,8659332,‐,日本ボ‐ト協会,NA,"公益社団法人日本ボ‐ト協会
東京都渋谷区神南1‐1‐1",5011105002256,"契約担当役
独立行政法人日本スポ‐ツ振興センタ‐　理事長　大東　和美
東京都港区北青山2‐8‐35",ナショナルトレ‐ニングセンタ‐競技別強化拠点施設（ボ‐ト）運営支援業務,Goods and Services,公社,国認定,1,Negotiated,0,h30_youshiki3-4
MHLW,6040005003798,2019-03-29,2019 Mar,2019,2011230,0,HLA研究所,NA,"公益財団法人
HLA研究所
京都府京都市下京区中堂寺南町134",6040005003798,"独立行政法人
地域医療機能推進機構
九州病院
院長　内山　明彦
福岡県北九州市八幡西区
岸ヶ浦1-8-1","造血幹細胞
移植関連検査等
業務委託",Goods and Services,公財,国認定,1,Competitive,NA,r1_youshiki3-3
MHLW,1013205001281,2019-03-29,2019 Mar,2019,48327840,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構北海道がんセンター
院長　加藤　秀則
北海道札幌市白石区菊水4条2-3-54",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,56188080,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構仙台医療センター
院長　橋本　省
宮城県仙台市宮城野区宮城野2-8-8",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,38102400,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構仙台西多賀病院
院長　武田　篤
宮城県仙台市太白区鈎取本町2-11-11",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,14913072,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構茨城東病院
院長　齋藤　武文
茨城県那珂郡東海村照沼825",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,71281836,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構高崎総合医療センター
院長　石原　弘
群馬県高崎市高松町36",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,3995050,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構沼田病院
院長　前村　道生
群馬県沼田市上原町1551-4",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,134947728,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構埼玉病院
院長　原　彰男
埼玉県和光市諏訪2-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,15500000,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東埼玉病院
院長　正田　良介
埼玉県蓮田市大字黒浜4147",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,28720008,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構千葉医療センター
院長　杉浦　信之
千葉県千葉市中央区椿森4-1-2",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,48943872,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構千葉東病院
院長　新井　公人
千葉県千葉市中央区仁戸名町673",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,15201432,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東京医療センター
院長　大島　久二
東京都目黒区東が丘2-5-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,122890000,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東京医療センター
院長　大島　久二
東京都目黒区東が丘2-5-1",密封線源の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,34424892,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東京病院
院長　當間　重人
東京都清瀬市竹丘3-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,42136306,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構西新潟中央病院
院長　内山　政二
新潟県新潟市西区真砂1-14-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,9182030,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構甲府病院
院長　荻野　哲男
山梨県甲府市天神町11-35",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,26532900,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構金沢医療センター
院長　鵜浦　雅志
石川県金沢市下石引町1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,11195712,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構豊橋医療センター
院長　市原　透
愛知県豊橋市飯村町字浜道上50",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,42826428,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構宇多野病院 
院長　梶　龍兒
京都府京都市右京区鳴滝音戸山町8",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,24475932,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構舞鶴医療センター
院長　法里　高
京都府舞鶴市行永2410",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,28265760,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構神戸医療センター
院長　森田　瑞穂
兵庫県神戸市須磨区西落合3-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,91663272,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構姫路医療センター
院長　和田　康雄
兵庫県姫路市本町68",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,2574093,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構松江医療センター
院長　中島　健二
島根県松江市上乃木5-8-31",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,99072944,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構福山医療センター
中国四国グループ総括長　河田　晃伸
広島県福山市沖野上町4-14-17",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,7301080,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構福山医療センター
中国四国グループ総括長　河田　晃伸
広島県福山市沖野上町4-14-17",密封線源の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,35863020,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構東広島医療センター
院長　勇木　清
広島県東広島市西条寺家513",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,84152628,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構関門医療センター
院長　林　弘人　　　　
山口県下関市長府外浦町1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,17854884,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構山口宇部医療センター
院長　亀井　治人　　　　
山口県宇部市東岐波685",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,9892100,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構四国こどもとおとなの医療センター
院長　中川　義信
香川県善通寺市仙遊町2-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,9512876,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構高知病院
院長　大串　文隆
高知県高知市朝倉西町1-2-25",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,118740816,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構九州がんセンター
院長　藤　也寸志
福岡県福岡市南区野多目3-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,6298560,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構九州がんセンター
院長　藤　也寸志
福岡県福岡市南区野多目3-1-1",放射性同位元素の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,42577056,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構福岡東医療センター
院長　江崎　卓弘
福岡県古賀市千鳥1-1-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,6308388,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構佐賀病院
院長　島　正義
佐賀県佐賀市日の出1-20-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,74573892,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"長崎医療独立行政法人国立病院機構長崎医療センター
院長　江﨑　宏典
長崎県大村市久原2-1001-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,11893824,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構長崎川棚医療センター
院長　宮下　光世
長崎県東彼杵郡川棚町下組郷2005-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,19602648,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構大分医療センター
院長　穴井　秀明
大分県大分市横田2-11-45",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,6219324,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構別府医療センター
院長　酒井　浩徳
大分県別府市大字内竃1473",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
MHLW,1013205001281,2019-03-29,2019 Mar,2019,14327064,0,日本アイソト-プ協会,NA,"公益社団法人日本アイソトープ協会
東京都文京区本駒込2-28-45",1013205001281,"独立行政法人国立病院機構宮崎東病院
院長　塩屋　敬一
宮崎県宮崎市大字田吉4374-1",放射性医薬品の購入,Goods and Services,公社,国認定,1,Negotiated,0,r1_youshiki3-4
